Fecha,Coordinadora,Seccion,Estado,Cantidad,ID_Reporte,Hora,RawText,Observaciones,Avance
2026-04-21 19:09:17,Zuley,Nuevos Cap 1,OK,2,,,,,
2026-04-21 19:09:17,Zuley,Nuevos Cap 1,SIG,0,,,,,
2026-04-21 19:09:17,Zuley,Nuevos Cap 1,NC,0,,,,,
2026-04-21 19:09:17,Zuley,Nuevos Cap 1,XC,0,,,,,
2026-04-21 19:09:17,Zuley,Nuevos Cap 1,NI,0,,,,,
2026-04-21 19:09:17,Zuley,Nuevos Cap 1,PENDIENTE,88,,,,,
2026-04-21 19:09:17,Zuley,Nuevos Cap 1,TOTAL,91,,,,,
2026-04-21 19:09:17,Zuley,Rezagados Cap 1,OK,6,,,,,
2026-04-21 19:09:17,Zuley,Rezagados Cap 1,SIG,1,,,,,
2026-04-21 19:09:17,Zuley,Rezagados Cap 1,NC,20,,,,,
2026-04-21 19:09:17,Zuley,Rezagados Cap 1,XC,20,,,,,
2026-04-21 19:09:17,Zuley,Rezagados Cap 1,NI,5,,,,,
2026-04-21 19:09:17,Zuley,Rezagados Cap 1,TOTAL,65,,,,,
2026-04-21 19:09:17,Zuley,Aliados Cap1 E27,OK,2,,,,,
2026-04-21 19:09:17,Zuley,Aliados Cap1 E27,XC,3,,,,,
2026-04-21 19:09:17,Zuley,Aliados Cap1 E27,SIG,4,,,,,
2026-04-21 19:09:17,Zuley,Aliados Cap1 E27,NC,14,,,,,
2026-04-21 19:09:17,Zuley,Aliados Cap1 E27,NP,11,,,,,
2026-04-21 19:09:17,Zuley,Aliados Cap1 E27,NI,1,,,,,
2026-04-21 19:09:17,Zuley,Aliados Cap1 E27,TOTAL,49,,,,,
2026-04-21 19:09:37,Joyce,Nuevos Cap 1,OK,3,,,,,
2026-04-21 19:09:37,Joyce,Nuevos Cap 1,SIG,0,,,,,
2026-04-21 19:09:37,Joyce,Nuevos Cap 1,NC,0,,,,,
2026-04-21 19:09:37,Joyce,Nuevos Cap 1,XC,0,,,,,
2026-04-21 19:09:37,Joyce,Nuevos Cap 1,NI,0,,,,,
2026-04-21 19:09:37,Joyce,Nuevos Cap 1,PENDIENTE,89,,,,,
2026-04-21 19:09:37,Joyce,Nuevos Cap 1,TOTAL,92,,,,,
2026-04-21 19:09:37,Joyce,Rezagados Cap 1,OK,8,,,,,
2026-04-21 19:09:37,Joyce,Rezagados Cap 1,SIG,2,,,,,
2026-04-21 19:09:37,Joyce,Rezagados Cap 1,NC,30,,,,,
2026-04-21 19:09:37,Joyce,Rezagados Cap 1,NI,0,,,,,
2026-04-21 19:09:37,Joyce,Rezagados Cap 1,PENDIENTE,30,,,,,
2026-04-21 19:09:37,Joyce,Rezagados Cap 1,TOTAL,70,,,,,
2026-04-21 19:09:37,Joyce,Aliados Cap1 E27,OK,5,,,,,
2026-04-21 19:09:37,Joyce,Aliados Cap1 E27,XC,3,,,,,
2026-04-21 19:09:37,Joyce,Aliados Cap1 E27,SIG,0,,,,,
2026-04-21 19:09:37,Joyce,Aliados Cap1 E27,NC,29,,,,,
2026-04-21 19:09:37,Joyce,Aliados Cap1 E27,NP,0,,,,,
2026-04-21 19:09:37,Joyce,Aliados Cap1 E27,PEND,0,,,,,
2026-04-21 19:09:37,Joyce,Aliados Cap1 E27,TOTAL,37,,,,,
2026-04-21 19:09:58,Joyce,Nuevos Cap 1,OK,7,,,,,
2026-04-21 19:09:58,Joyce,Nuevos Cap 1,SIG,0,,,,,
2026-04-21 19:09:58,Joyce,Nuevos Cap 1,NC,0,,,,,
2026-04-21 19:09:58,Joyce,Nuevos Cap 1,XC,0,,,,,
2026-04-21 19:09:58,Joyce,Nuevos Cap 1,NI,0,,,,,
2026-04-21 19:09:58,Joyce,Nuevos Cap 1,PENDIENTE,84,,,,,
2026-04-21 19:09:58,Joyce,Nuevos Cap 1,TOTAL,91,,,,,
2026-04-21 19:09:58,Joyce,Rezagados Cap 1,OK,9,,,,,
2026-04-21 19:09:58,Joyce,Rezagados Cap 1,SIG,2,,,,,
2026-04-21 19:09:58,Joyce,Rezagados Cap 1,NC,46,,,,,
2026-04-21 19:09:58,Joyce,Rezagados Cap 1,XC,6,,,,,
2026-04-21 19:09:58,Joyce,Rezagados Cap 1,NI,2,,,,,
2026-04-21 19:09:58,Joyce,Rezagados Cap 1,TOTAL,65,,,,,
2026-04-21 19:09:58,Joyce,Aliados Cap1 E27,OK,15,,,,,
2026-04-21 19:09:58,Joyce,Aliados Cap1 E27,XC,3,,,,,
2026-04-21 19:09:58,Joyce,Aliados Cap1 E27,SIG,4,,,,,
2026-04-21 19:09:58,Joyce,Aliados Cap1 E27,NC,13,,,,,
2026-04-21 19:09:58,Joyce,Aliados Cap1 E27,NP,11,,,,,
2026-04-21 19:09:58,Joyce,Aliados Cap1 E27,NI,3,,,,,
2026-04-21 19:09:58,Joyce,Aliados Cap1 E27,TOTAL,49,,,,,
2026-04-21,Zuley,Nuevos Cap 1,OK,2,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Nuevos Cap 1,SIG,0,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Nuevos Cap 1,NC,0,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Nuevos Cap 1,XC,0,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Nuevos Cap 1,NI,0,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Nuevos Cap 1,PENDIENTE,88,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Nuevos Cap 1,TOTAL,91,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Rezagados Cap 1,OK,6,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Rezagados Cap 1,SIG,1,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
2026-04-21,Zuley,Rezagados Cap 1,NC,20,2026-04-21 21:46:43,21:46:43,"✅ *Nuevos Cap 1:* 

OK = 2
SIG = 0
NC= 0
XC = 0
NI = 0
Pendiente = 88

Total = 91
✅ *Rezagados Cap 1:* 

OK = 6
SIG = 1
NC= 20
XC = 20
NI = 5

Total = 65

✅ *Aliados Cap1 E27*

OK = 2
XC = 3
SIG = 4
NC = 14
NP = 11
NI= 1


Total = 49",,
